Nome: PALMAS;
Codigo Estacao: A009;
Latitude: -10.14777777;
Longitude: -48.31444444;
Altitude: 267;
Situacao: Operante;
Data Inicial: 2020-01-01;
Data Final: 2023-12-31;
Periodicidade da Medicao: Diaria;
;
Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
25/12/2021;24,7
26/12/2021;25,1
27/12/2021;26,3
28/12/2021;25,8
29/12/2021;24,9
30/12/2021;25,2
31/12/2021;24,5
01/01/2022;26,2
02/01/2022;25,2
03/01/2022;26,2
04/01/2022;25,2
05/01/2022;26,2
06/01/2022;25,1
07/01/2022;26,3
08/01/2022;24
09/01/2022;24,3
10/01/2022;25
11/01/2022;26,6
12/01/2022;22,9
13/01/2022;24,8
14/01/2022;26,7
15/01/2022;27,5
16/01/2022;27,9
17/01/2022;24,9
18/01/2022;24,4
19/01/2022;26,3
20/01/2022;27,8
21/01/2022;28,3
22/01/2022;28,2
23/01/2022;27,2
24/01/2022;24,9
25/01/2022;24,6
26/01/2022;25,2
27/01/2022;24,6
28/01/2022;25,2
29/01/2022;25,9
30/01/2022;27,2
31/01/2022;26
01/02/2022;25,5
02/02/2022;26
03/02/2022;25
04/02/2022;27,1
05/02/2022;26,7
06/02/2022;24,8
07/02/2022;26,6
08/02/2022;27,8
09/02/2022;27,1
10/02/2022;25,3
11/02/2022;26,5
12/02/2022;24,8
13/02/2022;25,1
14/02/2022;26
15/02/2022;27,8
16/02/2022;25,3
17/02/2022;26,4
18/02/2022;26,3
19/02/2022;24
20/02/2022;25,6
21/02/2022;27,2
22/02/2022;27,7
23/02/2022;24,3
24/02/2022;27,2
25/02/2022;28,8
26/02/2022;25,7
27/02/2022;28,3
28/02/2022;26,9
01/03/2022;25,9
02/03/2022;23,2
03/03/2022;24,2
04/03/2022;26,4
05/03/2022;25,6
06/03/2022;26
07/03/2022;24,5
08/03/2022;25,3
09/03/2022;26,7
10/03/2022;25,9
11/03/2022;24,8
12/03/2022;25,8
13/03/2022;27,2
14/03/2022;26,9
15/03/2022;25
16/03/2022;25,9
17/03/2022;26,5
18/03/2022;26,4
19/03/2022;26,9
20/03/2022;26
21/03/2022;25,9
22/03/2022;27,3
23/03/2022;26
24/03/2022;24,3
25/03/2022;24,9
26/03/2022;26,5
27/03/2022;25,8
28/03/2022;24,9
29/03/2022;23,9
30/03/2022;26,1
31/03/2022;27,3
01/04/2022;26,9
02/04/2022;27,5
03/04/2022;28,1
04/04/2022;28,4
05/04/2022;28,5
06/04/2022;26,7
07/04/2022;27,4
08/04/2022;28,2
09/04/2022;28,4
10/04/2022;27,9
11/04/2022;28,4
12/04/2022;27,5
13/04/2022;26,6
14/04/2022;26,6
15/04/2022;26,5
16/04/2022;27,7
17/04/2022;26,1
18/04/2022;25,8
19/04/2022;27,1
20/04/2022;28,5
21/04/2022;27,1
22/04/2022;25,4
23/04/2022;26,6
24/04/2022;26,3
25/04/2022;27,5
26/04/2022;28,1
27/04/2022;28,1
28/04/2022;27,9
29/04/2022;28,7
30/04/2022;28,5
01/05/2022;27,8
02/05/2022;28,1
03/05/2022;28,2
04/05/2022;28,4
05/05/2022;26,6
06/05/2022;27
07/05/2022;28
08/05/2022;28,2
09/05/2022;null
10/05/2022;null
11/05/2022;null
12/05/2022;null
13/05/2022;null
14/05/2022;null
15/05/2022;null
16/05/2022;null
17/05/2022;null
18/05/2022;null
19/05/2022;null
20/05/2022;null
21/05/2022;null
22/05/2022;null
23/05/2022;null
24/05/2022;null
25/05/2022;null
26/05/2022;null
27/05/2022;null
28/05/2022;null
29/05/2022;null
30/05/2022;null
31/05/2022;null
01/06/2022;null
02/06/2022;null
03/06/2022;null
04/06/2022;null
05/06/2022;null
06/06/2022;null
07/06/2022;null
08/06/2022;null
09/06/2022;null
10/06/2022;null
11/06/2022;null
12/06/2022;null
13/06/2022;null
14/06/2022;null
15/06/2022;null
16/06/2022;null
17/06/2022;null
18/06/2022;null
19/06/2022;null
20/06/2022;null
21/06/2022;null
22/06/2022;null
23/06/2022;null
24/06/2022;null
25/06/2022;null
26/06/2022;null
27/06/2022;null
28/06/2022;null
29/06/2022;null
30/06/2022;null
01/07/2022;null
02/07/2022;28
03/07/2022;29,3
04/07/2022;27,7
05/07/2022;25,7
06/07/2022;26,5
07/07/2022;26,6
08/07/2022;29,3
09/07/2022;29,7
10/07/2022;28,7
11/07/2022;27,5
12/07/2022;26,6
13/07/2022;26,6
14/07/2022;28,1
15/07/2022;28,4
16/07/2022;27,8
17/07/2022;26,8
18/07/2022;28,8
19/07/2022;27,8
20/07/2022;27,2
21/07/2022;27
22/07/2022;28,2
23/07/2022;28,6
24/07/2022;28,6
25/07/2022;27
26/07/2022;28,3
27/07/2022;27,5
28/07/2022;27,1
29/07/2022;26,6
30/07/2022;28
31/07/2022;28,3
01/08/2022;27,9
02/08/2022;28,7
03/08/2022;29,6
04/08/2022;28,4
05/08/2022;28,8
06/08/2022;30,3
07/08/2022;29,6
08/08/2022;29,4
09/08/2022;29,8
10/08/2022;28,9
11/08/2022;28,5
12/08/2022;28,7
13/08/2022;28,9
14/08/2022;30,1
15/08/2022;30
16/08/2022;29,4
17/08/2022;28,8
18/08/2022;30
19/08/2022;29,9
20/08/2022;29,9
21/08/2022;29,8
22/08/2022;29,4
23/08/2022;29,5
24/08/2022;29,9
25/08/2022;29,8
26/08/2022;31,1
27/08/2022;31,3
28/08/2022;30,6
29/08/2022;30,3
30/08/2022;30,8
31/08/2022;31
01/09/2022;30,1
02/09/2022;29,5
03/09/2022;29,4
04/09/2022;31,1
05/09/2022;31,5
06/09/2022;32,4
07/09/2022;31,6
08/09/2022;30,2
09/09/2022;32,1
10/09/2022;31,6
11/09/2022;31
12/09/2022;31,9
13/09/2022;31,1
14/09/2022;31
15/09/2022;31,1
16/09/2022;30,8
17/09/2022;30,8
18/09/2022;31,3
19/09/2022;29,8
20/09/2022;31,4
21/09/2022;30,9
22/09/2022;29,5
23/09/2022;26,2
24/09/2022;28,6
25/09/2022;26,6
26/09/2022;28,9
27/09/2022;30,3
28/09/2022;30,6
29/09/2022;31
30/09/2022;30,7
01/10/2022;null
02/10/2022;null
03/10/2022;null
04/10/2022;null
05/10/2022;null
06/10/2022;null
07/10/2022;null
08/10/2022;null
09/10/2022;null
10/10/2022;null
11/10/2022;null
12/10/2022;null
13/10/2022;null
14/10/2022;null
15/10/2022;null
16/10/2022;null
17/10/2022;null
18/10/2022;null
19/10/2022;null
20/10/2022;null
21/10/2022;null
22/10/2022;null
23/10/2022;null
24/10/2022;null
25/10/2022;null
26/10/2022;null
27/10/2022;null
28/10/2022;null
29/10/2022;null
30/10/2022;29
31/10/2022;28,1
01/11/2022;null
02/11/2022;null
03/11/2022;null
04/11/2022;null
05/11/2022;null
06/11/2022;null
07/11/2022;null
08/11/2022;null
09/11/2022;null
10/11/2022;null
11/11/2022;null
12/11/2022;null
13/11/2022;null
14/11/2022;null
15/11/2022;null
16/11/2022;null
17/11/2022;null
18/11/2022;null
19/11/2022;null
20/11/2022;null
21/11/2022;null
22/11/2022;null
23/11/2022;null
24/11/2022;null
25/11/2022;null
26/11/2022;null
27/11/2022;null
28/11/2022;null
29/11/2022;24,3
30/11/2022;null
01/12/2022;null
02/12/2022;null
03/12/2022;null
04/12/2022;null
05/12/2022;null
06/12/2022;null
07/12/2022;null
08/12/2022;null
09/12/2022;null
10/12/2022;null
11/12/2022;null
12/12/2022;null
13/12/2022;null
14/12/2022;null
15/12/2022;null
16/12/2022;null
17/12/2022;null
18/12/2022;null
19/12/2022;null
20/12/2022;null
21/12/2022;null
22/12/2022;null
23/12/2022;null
24/12/2022;null
25/12/2022;null
26/12/2022;null
27/12/2022;null
28/12/2022;null
29/12/2022;null
30/12/2022;25,2
31/12/2022;24,8
01/01/2023;26,5
02/01/2023;27,7
03/01/2023;25,6
04/01/2023;25
05/01/2023;24,2
06/01/2023;25,2
07/01/2023;25,2
08/01/2023;25,9
09/01/2023;null
10/01/2023;26
11/01/2023;25,7
12/01/2023;26,8
13/01/2023;null
14/01/2023;null
15/01/2023;null
16/01/2023;null
17/01/2023;null
18/01/2023;null
19/01/2023;null
20/01/2023;null
21/01/2023;null
22/01/2023;null
23/01/2023;null
24/01/2023;null
25/01/2023;null
26/01/2023;null
27/01/2023;null
28/01/2023;null
29/01/2023;null
30/01/2023;null
31/01/2023;null
01/02/2023;null
02/02/2023;null
03/02/2023;null
04/02/2023;null
05/02/2023;null
06/02/2023;null
07/02/2023;null
08/02/2023;null
09/02/2023;null
10/02/2023;null
11/02/2023;null
12/02/2023;null
13/02/2023;null
14/02/2023;null
15/02/2023;null
16/02/2023;null
17/02/2023;null
18/02/2023;null
19/02/2023;null
20/02/2023;null
21/02/2023;null
22/02/2023;null
23/02/2023;null
24/02/2023;null
25/02/2023;null
26/02/2023;24,6
27/02/2023;25,6
28/02/2023;25
01/03/2023;27
02/03/2023;27,4
03/03/2023;25,1
04/03/2023;24,8
05/03/2023;26,4
06/03/2023;26,7
07/03/2023;25,4
08/03/2023;25,6
09/03/2023;26,5
10/03/2023;26,9
11/03/2023;26,8
12/03/2023;25,7
13/03/2023;25,1
14/03/2023;25,9
15/03/2023;24,6
16/03/2023;25,4
17/03/2023;24,9
18/03/2023;null
19/03/2023;null
20/03/2023;25,5
21/03/2023;23,8
22/03/2023;26,1
23/03/2023;26,9
24/03/2023;27,1
25/03/2023;26,9
26/03/2023;25,8
27/03/2023;24,9
28/03/2023;25,6
29/03/2023;26,2
30/03/2023;27,6
31/03/2023;26,2
01/04/2023;25,6
02/04/2023;26,9
03/04/2023;24,2
04/04/2023;25,5
05/04/2023;25,5
06/04/2023;25,6
07/04/2023;26,5
08/04/2023;26,7
09/04/2023;26,1
10/04/2023;25,4
11/04/2023;26,1
12/04/2023;27,3
13/04/2023;27,4
14/04/2023;26,9
15/04/2023;27,6
16/04/2023;27,3
17/04/2023;27,3
18/04/2023;25,7
19/04/2023;26,6
20/04/2023;27,5
21/04/2023;27,6
22/04/2023;28,1
23/04/2023;27,8
24/04/2023;26,6
25/04/2023;27,2
26/04/2023;27,9
27/04/2023;27,1
28/04/2023;27,4
29/04/2023;27,5
30/04/2023;25,7
01/05/2023;25,8
02/05/2023;25,5
03/05/2023;null
04/05/2023;27,2
05/05/2023;27,5
06/05/2023;27,7
07/05/2023;28,5
08/05/2023;27,4
09/05/2023;27,8
10/05/2023;28,1
11/05/2023;27,9
12/05/2023;27,2
13/05/2023;27,3
14/05/2023;28,2
15/05/2023;28,7
16/05/2023;27,1
17/05/2023;26,5
18/05/2023;27,6
19/05/2023;26,7
20/05/2023;28,1
21/05/2023;27,3
22/05/2023;27,9
23/05/2023;27,1
24/05/2023;27,5
25/05/2023;28,8
26/05/2023;28,3
27/05/2023;29,1
28/05/2023;28,3
29/05/2023;27,8
30/05/2023;26,5
31/05/2023;27,6
01/06/2023;27,5
02/06/2023;28,1
03/06/2023;27,4
04/06/2023;28,9
05/06/2023;28
06/06/2023;27,2
07/06/2023;27,2
08/06/2023;27,2
09/06/2023;27,6
10/06/2023;28
11/06/2023;28,2
12/06/2023;27,8
13/06/2023;28,7
14/06/2023;27
15/06/2023;26,9
16/06/2023;27,7
17/06/2023;27,6
18/06/2023;27,5
19/06/2023;27,6
20/06/2023;27,7
21/06/2023;27,5
22/06/2023;28
23/06/2023;26,6
24/06/2023;26,1
25/06/2023;26,3
26/06/2023;26,5
27/06/2023;27,4
28/06/2023;26,9
29/06/2023;26,5
30/06/2023;26,6
01/07/2023;27
02/07/2023;26,9
03/07/2023;26,3
04/07/2023;26,5
05/07/2023;26,6
06/07/2023;27,3
07/07/2023;26,4
08/07/2023;26,7
